,xrsa,xrsb
2013-10-16 15:03:00.358999,1.2747e-08,7.8943e-07
2013-10-16 15:03:02.404999,1.1632e-08,7.9206e-07
2013-10-16 15:03:04.451999,1.2747e-08,7.8943e-07
2013-10-16 15:03:06.501999,1.3861e-08,7.8681e-07
2013-10-16 15:03:08.548999,1.3861e-08,7.9206e-07
2013-10-16 15:03:10.598999,1.2747e-08,7.9206e-07
2013-10-16 15:03:12.644999,1.3861e-08,7.8943e-07
2013-10-16 15:03:14.691999,1.2747e-08,7.9206e-07
2013-10-16 15:03:16.741999,1.1632e-08,7.9206e-07
2013-10-16 15:03:18.788999,1.1632e-08,7.8943e-07
2013-10-16 15:03:20.838999,1.3861e-08,7.9206e-07
2013-10-16 15:03:22.884999,1.2747e-08,7.9206e-07
2013-10-16 15:03:24.931999,1.2747e-08,7.9206e-07
2013-10-16 15:03:26.981999,1.3861e-08,7.8681e-07
2013-10-16 15:03:29.028999,1.3861e-08,7.8943e-07
2013-10-16 15:03:31.078999,1.2747e-08,7.8943e-07
2013-10-16 15:03:33.125000,1.4976e-08,7.8681e-07
2013-10-16 15:03:35.171999,1.3861e-08,7.8943e-07
2013-10-16 15:03:37.218999,1.2747e-08,7.9468e-07
2013-10-16 15:03:39.268999,1.2747e-08,7.8943e-07
2013-10-16 15:03:41.314999,1.2747e-08,7.9206e-07
2013-10-16 15:03:43.365000,1.2747e-08,7.9468e-07
2013-10-16 15:03:45.411999,1.2747e-08,7.9468e-07
2013-10-16 15:03:47.458999,1.3861e-08,7.9468e-07
2013-10-16 15:03:49.508999,1.2747e-08,7.9206e-07
2013-10-16 15:03:51.554999,1.2747e-08,7.9468e-07
2013-10-16 15:03:53.605000,1.2747e-08,7.973e-07
2013-10-16 15:03:55.651999,1.2747e-08,7.973e-07
2013-10-16 15:03:57.698999,1.3861e-08,7.973e-07
2013-10-16 15:03:59.748999,1.3861e-08,7.973e-07
2013-10-16 15:04:01.794999,1.3861e-08,7.9993e-07
2013-10-16 15:04:03.844999,1.4976e-08,7.973e-07
2013-10-16 15:04:05.891999,1.2747e-08,8.0255e-07
2013-10-16 15:04:07.938999,1.4976e-08,7.973e-07
2013-10-16 15:04:09.988999,1.3861e-08,7.9993e-07
2013-10-16 15:04:12.034999,1.3861e-08,7.9993e-07
2013-10-16 15:04:14.084999,1.3861e-08,8.0255e-07
2013-10-16 15:04:16.131999,1.3861e-08,8.0517e-07
2013-10-16 15:04:18.178999,1.609e-08,8.0255e-07
2013-10-16 15:04:20.228999,1.4976e-08,8.0517e-07
2013-10-16 15:04:22.274999,1.7204e-08,8.0255e-07
2013-10-16 15:04:24.324999,1.8319e-08,8.078e-07
2013-10-16 15:04:26.371999,1.7204e-08,8.0517e-07
2013-10-16 15:04:28.418999,1.609e-08,8.0517e-07
2013-10-16 15:04:30.468999,1.609e-08,8.078e-07
